nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Imagen Múltiple,2,Nivel 2,Ilusionismo,bardo; brujo; hechicero; mago,Acción,Lanzador,"V, S",1 minuto,"En tu espacio aparecen tres duplicados ilusorios de ti.

Hasta que el conjuro termine, estos duplicados se mueven

a la vez que tú e imitan tus acciones cambiando de posición,

por lo que es imposible saber cuál es la imagen real.

Cada vez que una criatura te acierte con una tirada de

ataque mientras dure el conjuro, tira 1d6 por cada uno de

tus duplicados restantes. Si cualquiera de los resultados

es de 3 o más, uno de los duplicados recibe el golpe en tu

lugar y es destruido. Por lo demás, los duplicados ignoran

el resto del daño y efectos. Cuando los tres duplicados son

destruidos, el conjuro termina.

Una criatura no se verá afectada por este conjuro si tiene

s

el estado de cegada, visión ciega o visión verdadera.",pendiente,
Imagen Silenciosa,1,Nivel 1,Ilusionismo,bardo; hechicero; mago,Acción,18 m,"V, S, M (un poco de vellón)","Concentración, hasta 10 minutos","Creas una imagen de un objeto, una criatura u otro tipo

de fenómeno visible cuyas dimensiones no excedan las de

un cubo de 4,5 m de lado. La imagen aparece en un sitio

dentro del alcance y se mantiene hasta el final del conjuro.

La imagen es solamente visual; no está acompañada de

,

sonido, olor u otros efectos sensoriales.

Como acción de magia, puedes mover la imagen

a cualquier sitio dentro del alcance. Al cambiarla de sitio,

zar

puedes alterar su apariencia de forma que sus movimientos

parezcan naturales. Por ejemplo, si creas la imagen de

una criatura y la mueves, puedes alterarla de forma que

parezca estar andando.

a

La interacción física con la imagen revela que es una

ilusión, ya que las cosas pueden atravesarla. Si una

criatura emplea una acción de estudiar para examinar

la imagen, puede determinar que es una ilusión si supera

una prueba de Inteligencia (Investigación) contra tu CD

de salvación de conjuros. Si la criatura descubre que la

imagen es una ilusión, no se dejará engañar por ella.",pendiente,
Impacto Certero,0,Truco,Adivinación,bardo; brujo; hechicero; mago,Acción,Lanzador,"S, M (un arma con la que tengas",Instantáneo,"competencia y que valga al menos 1 pc)

Un destello de perspicacia mágica te guía y haces un

ataque con el arma empleada para lanzar el conjuro.

El ataque usa tu aptitud mágica para las tiradas de ataque

y de daño en lugar de la Fuerza o la Destreza. Si el ataque

inflige daño, puede ser radiante o del tipo de daño normal

del arma (a tu elección).

Mejora de truco. Independientemente de si haces daño

radiante o del tipo normal del arma, el ataque inflige daño

radiante adicional cuando alcanzas los niveles 5 (146),

11 (246) y 17 (346).",ok,
Imponer Maldición,3,Nivel 3,Nigromancia,bardo; clérigo; mago,Acción,Toque,"V, S","Concentración, hasta 1 minuto","Tocas a una criatura, que deberá superar una tirada de

salvación de Sabiduría o quedará maldecida hasta que

el conjuro termine. Hasta que se rompa la maldición,

el objetivo sufrirá uno de los siguientes efectos a tu elecc

+ Elige una característica. El objetivo tendrá desventaja

en las pruebas de característica y tiradas de salvación

hechas con esa característica.

+ El objetivo tendrá desventaja en las tiradas de ataque

contra ti.

- En combate, el objetivo deberá superar una tirada de

salvación de Sabiduría al principio de cada uno de sus

turnos o se verá obligado a llevar a cabo la acción de

esquivar ese turno.

+ Si causas daño al objetivo con una tirada de ataque

o un conjuro, recibirá 1d8 de daño necrótico adicional.

Con un espacio de conjuro de nivel superior. Si lanzas

este conjuro con un espacio de nivel 4, puedes mantener

la concentración en él hasta 10 minutos. Si usas un espacio

de nivel 5 o superior, el conjuro no requiere concentración

y la duración pasará a ser de 8 horas (espacio de nivel 5 o

o de 24 horas (espacio de nivel 7 u 8). Si usas un espacio d

conjuro de nivel 9, el conjuro durará hasta que sea disipado",pendiente,
Indetectable,3,Nivel 3,Abjuración,bardo; explorador; mago,Acción,Toque,"V, S, M (una pizca de diamante en polvo",8 horas,"que valga al menos 25 po, que se consume como parte

del conjuro)

Hasta que termine el conjuro, escondes a un objetivo

que toques ante los conjuros de adivinación. Este puede

ser una criatura voluntaria, o un lugar o un objeto que

no midan más de 3 m en ninguna de sus dimensiones.

El objetivo no podrá ser el objetivo de conjuros de

adivinación ni podrá ser percibido mediante sensores

mágicos de escudriñamiento.",pendiente,
Infligir Heridas,1,Nivel 1,Nigromancia,clérigo,Acción,Toque,"V, S",Instantáneo,"Una criatura a la que toques hace una tirada de salvación

de Constitución; sufrirá 2d10 de daño necrótico si la falla

o la mitad del daño si la supera.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d10 por cada nivel por encima de 1 que tenga

el espacio.",pendiente,
Inmovilizar Monstruo,5,Nivel 5,Encantamiento,bardo; brujo; hechicero; mago,Acción,27 m,"V, S, M (un trozo de hierro recto)","Concentración, hasta 1 minuto","ión:   Elige a una criatura que puedas ver dentro del alcance.

El objetivo deberá superar una tirada de salvación de

Sabiduría o tendrá el estado de paralizado hasta que

termine el conjuro. Al final de cada uno de sus turnos,

el objetivo repite la tirada de salvación y, si tiene éxito,

se librará del conjuro.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

por encima de 5 que tenga el espacio.",pendiente,
Inmovilizar Persona,2,Nivel 2,Encantamiento,,Acción,18 m,"V, S, M (un trozo de hierro recto) hechicero, mago) 6)     Duración: Concentración, hasta 1 minuto e .      Elige a un humanoide que puedas ver dentro del alcance. El objetivo deberá superar una tirada de salvación de Sabiduría o tendrá el estado de paralizado hasta que termine el conjuro. Al final de cada uno de sus turnos, el objetivo repite la tirada de salvación y, si tiene éxito, se librará del conjuro.",,"Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a un humanoide adicional por cada nivel

por encima de 2 que tenga el espacio.",pendiente,
Insecto Gigante,4,Nivel 4,Conjuración,druida,Acción,18 m,"V, S","Concentración, hasta 10 minutos","Invocas una araña, una avispa o un ciempiés gigantes

(a tu elección cuando lanzas el conjuro). Se manifiesta en

un espacio sin ocupar que puedas ver dentro del alcance

y utiliza el perfil del insecto gigante. La forma que

elijas determina ciertos aspectos de su perfil. La criatura

desaparecerá si sus puntos de golpe se reducen a 0 o si

el conjuro termina.

l Bestia Grande, sin alineamiento

CA: 11 + el nivel del conjuro

PG: 30 + 10 por cada nivel del conjuro superior al 4

Velocidad: 12 m, trepar 12 m, volar 12 m (solo avispa)

MOD.   SALV.           M         LV          MOD

Fue 174343               Des 13 HI    70+10     Con 151+2

nr 4 EEN                 Sab ION                [Cars EAS

Sentidos: visión en la oscuridad 18 m, Percepción pasiva 12

Idiomas: entiende los idiomas que conozcas

VD: ninguno (0 PX; BC igual a tu bonificador por competenci

ATRIBUTOS

Trepar cual arácnido. El insecto puede trepar por superfici

difíciles e incluso recorrer techos sin tener que realizar

pruebas de característica.

ACCIONES

Ataque múltiple. El insecto realiza una cantidad de ataques

igual a la mitad del nivel de este conjuro (redondeado

hacia abajo).

Punzada venenosa. Tirada de ataque cuerpo a cuerpo:

bonificador igual a tu modificador de ataque de conjuros,

alcance 3 m. Acierto: 1d6 + 3 más el nivel del conjuro de

daño perforante más 1d4 de daño de Veneno.

Proyectil de telarañas (solo araña). Tirada de ataque a dis

bonificador igual a tu modificador de ataque de conjuros,

alcance 18 m. Acierto: 1410 + 3 más el nivel del conjuro de

contundente y la velocidad del objetivo se reduce a O hasta

el principio del siguiente turno del insecto.

ACCIONES ADICIONALES

Escupitajo venenoso (solo ciempiés). Tirada de salvación de

Constitución: tu CD de salvación de conjuros, una criatura

que el insecto pueda ver a 3 m o menos. Fallo: el objetivo

tendrá el estado de envenenado hasta el principio del

siguiente turno del insecto.

La criatura se considera un aliado para tus aliados

y para ti. En combate, la criatura comparte tu orden de

iniciativa, pero su turno va justo después del tuyo, obedece

tus órdenes verbales (no requiere acción) y, si no le das

ninguna, realiza la acción de esquivar y usa su movimiento

para evitar el peligro.

Con un espacio de conjuro de nivel superior. Usa el nivel

del espacio de conjuro para determinar el nivel del conjuro

en el perfil.",pendiente,
Invertir la Gravedad,7,Nivel 7,Transmutación,druida; hechicero; mago,Acción,30 m,"V, S, M (un imán natural y virutas de hierro)","Concentración, hasta 1 minuto","Este conjuro invierte la gravedad en un cilindro de 15 m

de radio y 30 m de alto centrado en un punto dentro del

alcance. Todas las criaturas y objetos dentro de la zona

que no estén fijados al suelo caerán hacia arriba y llegarán

.   SALV.            a la parte superior del cilindro. Una criatura puede hacer

+2.     |        una tirada de salvación de Destreza para agarrarse a un

objeto fijo a su alcance y así evitar la caída hacia arriba.

|     Si un techo o un objeto fijo se interpone en la caída, las

l                   criaturas y objetos chocan contra él como harían en una

|                   caída normal hacia abajo. Si una criatura u objeto llega

a)                   a la parte superior del cilindro sin chocarse con nada,

permanecerá allí flotando hasta que el conjuro termine.

Cuando ocurra, las criaturas y objetos afectados caerán

es                   hacia abajo.",pendiente,
Invisibilidad,2,Nivel 2,Ilusionismo,bardo; brujo; hechicero; mago,Acción,Toque,"V, S, M (una pestaña envuelta en goma arábiga) Duración: Concentración, hasta 1 hora",,"Una criatura a la que tocas tiene el estado de invisible

hasta que el conjuro termine. El conjuro terminará

tancia:              inmediatamente después de que el objetivo haga una

tirada de ataque, cause daño o lance un conjuro.

daño                  Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

|l       por encima de 2 que tenga el espacio.

fl",pendiente,
Espíritu Aberrante (contemplador) Invisibilidad Mejorada,4,Nivel 4,Ilusionismo,bardo; hechicero; mago,Acción,Toque,"V, S","Concentración, hasta 1 minuto","Una criatura a la que tocas tiene el estado de invisible

hasta que el conjuro termine.",pendiente,
Invocación Instantánea de Drawmij,6,Nivel 6,Conjuración,mago,1 minuto o un ritual,Toque,"V, S, M (un zafiro que valga al menos 1000 po)",Hasta que sea disipado,"Tocas el zafiro empleado en el lanzamiento y un objeto

que pese 5 kg o menos y cuya dimensión más grande sea

de 1,8 m o menos. El conjuro deja una marca invisible

en su superficie y graba de la misma forma el nombre

del objeto en el zafiro. Cada vez que lances este conjuro,

deberás usar un zafiro distinto.

A partir de entonces, podrás emplear una acción de

magia para decir el nombre del objeto y aplastar el zafiro.

El objeto aparecerá en tu mano al instante, sin importar

las distancias físicas o interplanares, y el conjuro termina

Si otra criatura sostiene o lleva el objeto consigo, apla

el zafiro no lo llevará hasta ti. En su lugar, descubrirás

quién es la criatura que lo tiene y su paradero actual.",pendiente,
Invocar Aberración,4,Nivel 4,Conjuración,brujo; mago,Acción,27 m,"V, S, M (una caja de seguridad que valga","Concentración, hasta 1 hora","ocular en un vial con incrustaciones de platino que valga

al menos 400 po)

Invocas un espíritu aberrante que se manifiesta en un

espacio sin ocupar que puedas ver dentro del alcance y usa

el perfil del espíritu aberrante. Cuando lances el conjuro,

elige azotamentes, contemplador o slaad. La criatura se

parecerá a una aberración de ese tipo, lo que determinará

ciertos detalles de su perfil. La criatura desaparecerá si sus

puntos de golpe se reducen a O o si el conjuro termina.

La criatura se considera un aliado para tus aliados

y para ti. En combate, comparte tu orden de iniciativa,

pero su turno va justo después del tuyo, obedece tus

órdenes verbales (no requiere acción) y, si no le das ninguna,

realiza la acción de esquivar y usa su movimiento para

evitar el peligro.

Con un espacio de conjuro de nivel superior. Usa el nivel

del espacio de conjuro para determinar el nivel del conjuro

en el perfil.

>       ARA                                         a                     >

1 ESPÍRITU ABERRANTE

WI

Aberración Mediana, neutral

| CA: 11 + el nivel del conjuro

PG: 40 + 10 por cada nivel del conjuro superior al 4

| Velocidad: 9 m, volar 9 m (levitar; solo contemplador)

MOD.   SALV.          MOD.   SALV.          MOD.   SALV.

Fue 16 +3       +3      Des10 +0      +0       Con15 +2     +2

Int 16 +3       +3      Sam 10 +0     +0      Car 6 -2      -2

inmunidades: psíquico

Sentidos: visión en la oscuridad 18 m, Percepción pasiva 10

Idiomas: habla de las profundidades, entiende los idiomas

que conozcas

VD: ninguno (0 PX; BC igual a tu bonificador por competencia)

ATRIBUTOS

Aura susurrante (solo azotamentes). Al comienzo de todos

los turnos del espíritu, este emite energía psiónica si no tiene

el estado de incapacitado. Tirada de salvación de Sabiduría:

CD igual a tu CD de salvación de conjuros, todas las

criaturas (excepto tú) a 1,5 m o menos del espíritu.             |

Fallo: 2d6 de daño psíquico.                                     |

Regeneración (solo slaad). El espíritu recupera 5 puntos

de golpe al principio de su turno si tiene al menos 1.

ACCIONES

Ataque múltiple. El espíritu realiza una cantidad de ataques

igual a la mitad del nivel de este conjuro (redondeado

rá.       hacia abajo).

star    | Garra (solo slaad). Tirada de ataque cuerpo a cuerpo:

| bonificador igual a tu modificador de ataque de conjuros,

alcance 1,5 m. Acierto: 1410 + 3 + el nivel del conjuro de

daño cortante y el objetivo no podrá recuperar puntos de

golpe hasta el principio del siguiente turno del espíritu.

Golpe psíquico (solo azotamentes). Tirada de ataque cuerpo

a cuerpo: bonificador igual a tu modificador de ataque

| de conjuros, alcance 1,5 m. Acierto: 148 + 3 + el nivel del

[| conjuro de daño psíquico.

Rayo ocular (solo contemplador). Tirada de ataque a distancia:

| bonificador igual a tu modificador de ataque de conjuros,

| alcance 45 m. Acierto: 1d3 + 3 + el nivel del conjuro de

daño psíquico.

mm

ESPÍRITU AUTÓMATA

Autómata Mediano, neutral

CA: 13 + el nivel del conjuro

PG: 40 + 15 por cada nivel del conjuro superior al 4

| Velocidad: 9 m

MOD.   SALY.          MOD.   SAL'           M

Fue 18 +4       +4      Des10+0       +0     Conl3 +4

InT 14 +2       +2      Sab 11 +0     +0     Car 5 -3

| Resistencias: veneno

| | Inmunidades: asustado, cansancio, envenenado, hechizado,

[|     paralizado

|| Sentidos: visión en la oscuridad 18 m, Percepción pasiva

| Idiomas: entiende los idiomas que conozcas

VD: ninguno (0 PX; BC igual a tu bonificador por

competencia)

ATRIBUTOS

| Cuerpo abrasador (solo metal). Una criatura que acierte a

| espíritu con un ataque cuerpo a cuerpo o empiece su turno

| en un agarre con el espíritu sufre 1410 de daño de fuego.

| Letargo pétreo (solo piedra). Cuando una criatura empieza

| su turno a 3 m o menos del espíritu, este puede hacerla

objetivo con energía mágica si puede verla. Tirada de

salvación de Sabiduría: CD igual a tu CD

de salvación

de conjuros, el objetivo. Fallo: hasta el principio de

siguiente turno, el objetivo no puede realizar ataques

de oportunidad y su velocidad se reduce a la mitad.

ACCIONES

Ataque múltiple. El espíritu realiza una cantidad de at

con su golpe igual a la mitad del nivel de este conjuro

(redondeado hacia abajo).

Golpe. Tirada de ataque cuerpo a cuerpo: bonificador ig

a tu modificador de ataque de conjuros, alcance 1,5 m.

Acierto: 148 + 4 + el nivel del conjuro de daño contund

REACCIONES

Azote berserk (solo arcilla). Detonante: el espíritu re

daño de una criatura. Respuesta: el espíritu realiza un

ataque con su golpe contra esa criatura si es posible

o se mueve hasta la mitad de su velocidad hacia esa

criatura sin provocar ataques de oportunidad.

ESPÍRITU AUTÓMATA

(PIEDRA)

OD.    SALV.

+4

-3

l              INVOCAR AUTÓMATA

Conjuración de nivel 4 (mago)

al menos 400 po)

su

Invocas el espíritu de un autómata, que se manifiesta en

un espacio sin ocupar que puedas ver dentro del alcance

y usa el perfil del espíritu autómata. Cuando lances

el conjuro, elige un material: arcilla, metal o piedra.

La criatura parecerá una estatua animada (tú decides

aques          el aspecto) hecha del material en cuestión, lo que

determinará ciertos detalles de su perfil. La criatura

desaparecerá si sus puntos de golpe se reducen a 0 o si el

ual            conjuro termina.

La criatura se considera un aliado para tus aliados

ente.          y para ti. En combate, la criatura comparte tu orden

de iniciativa, pero su turno va justo después del tuyo,

obedece tus órdenes verbales (no requiere acción) y,

cibe           si no le das ninguna, realiza la acción de esquivar y usa

su movimiento para evitar el peligro.

Con un espacio de conjuro de nivel superior. Usa el nivel

del espacio de conjuro para determinar el nivel del conjuro

en el perfil.",pendiente,
